,rating,title,timestamp,preprocessed_review,sentiment,label
457175,5,Color,2021-08-24 21:06:07.979,color love comfortable,1.0,1
512049,5,Just buy it.,2016-03-02 02:49:15.000,buy carry day pocket issue break beard comb nice handy toddler decide totally mess hair,1.0,1
329029,2,Hard to place,2022-01-03 22:02:16.720,hard place not find comfortable stop use,-0.5,0
67047,5,Well made and excellent design,2019-12-29 03:38:56.473,excellent design high quality product bargain,1.0,1
552648,5,Five Stars,2017-12-18 03:26:54.895,star cute,1.0,1
222437,5,its decent,2021-02-13 03:23:49.732,decent bad job,1.0,1
595708,5,Favorite lashes ever!,2020-09-26 18:57:15.798,favorite lash lash super cute fluffy couple wear pair,1.0,1
230950,5,My wife loves it,2013-05-01 12:36:30.000,wife love buy gift wife love like black stand different,1.0,1
510124,5,Easy to apply and enough to have multiple sets!,2021-07-27 23:21:45.742,easy apply multiple set nice know o press day not feel like nail short function everyday task pop put pressure finger include glue prefer use nail glue hold well like overall look nail matte look plenty color choose fav purple,1.0,1
6248,4,hairbrush for wet and dry tangles,2020-10-21 15:53:02.116,hairbrush wet dry tangle nice soft brush gentle scalp brush bed head wet hair pretty not leave hair bristle old hard stiff bristle brush,0.5,1
52328,1,Thin and smelly!,2020-03-02 22:55:32.759,thin smelly come today reak try wash em good smell shampoo little differencebr incredibly thin buy,-1.0,0
471704,2,I been using this since I brought it I don't ...,2016-11-22 15:42:16.000,bring not   bring not result not think product work,-0.5,0
153466,5,100% recommend,2021-02-11 23:07:57.623,  recommend buy wig yashiro cosplay probably high quality wig ve buy ve cosplaye   year get wig brush easily take second tangle shedding plus pretty expect long time able long wig like,1.0,1
257511,1,Didn’t turn on,2018-10-25 10:30:46.534,not turn not turn,-1.0,0
489796,5,Five Stars,2018-04-21 01:33:24.284,star great color,1.0,1
85431,5,Darker than I hoped,2020-12-31 01:49:37.192,dark hoped stay dah,1.0,1
144694,4,Lightweight and functional,2014-05-08 00:39:41.000,lightweight functional find bit short home haircut work well vinyl previously feel like sauna,0.5,1
663506,5,"Yesss , can’t get no better !",2020-09-21 01:40:47.939,yesss   not well   love love love hair   great quality tangle shed vey please   recommend want good   place order,1.0,1
669827,4,Like,2017-05-21 13:53:23.000,like like   ve lotion far   actually get cabinet bonus,0.5,1
181547,5,Five Stars,2015-12-28 01:32:48.000,star wonderful nail polish,1.0,1
218670,5,Love it!!,2019-02-08 23:57:57.808,love go thick application   great cause stay like waterproof damage eyelash,1.0,1
100112,5,At Long Last…,2022-09-25 14:45:58.968,long buy orchid diffuser   struggle   long year give possibly good diffuser market   snozzlepro miracle workerbr br snozzlepro diffuser attache perfectly blow dryer work perfect unison   hat creator product  ,1.0,1
145172,3,disappointed because I really liked it at first,2018-04-22 03:11:50.006,disappoint like handle break month disappoint like,0.0,0
369287,5,Beautiful,2021-01-02 23:07:49.210,beautiful videoidcbceadfaafbba love bright glitter packaging super cute m super excited use project,1.0,1
120508,5,Excelente,2022-10-18 21:55:27.369,excelente mis clientas estan facinada,1.0,1
418943,5,Five Stars,2016-07-23 00:27:59.000,star perfect,1.0,1
537534,5,Love it!!,2011-04-07 12:41:00.000,love love tiara great addition dress big day pretty person buy,1.0,1
675275,1,Don't buy!!!! Is horrible!!!,2017-05-11 01:30:13.000,not buy horrible horrible write review take time time bring uv lamp time not   month not work bulb not buy waste money time give   star cause,-1.0,0
249971,5,Colors are beautiful,2019-01-17 13:54:46.482,color beautiful love,1.0,1
337611,5,Very hydrating!,2018-03-08 04:18:57.316,hydrating feels hydrate instantly,1.0,1
85436,5,Happy with the order,2019-05-27 00:10:39.431,happy order product year order receive exactly expect thank,1.0,1
112293,3,Not for misting oils,2019-02-01 02:08:31.661,mist oil read review mist olive oil mist water oil come stream disappointing,0.0,0
343829,1,I don't recommend this for people with sensitive skin and if you ...,2018-06-21 01:00:49.812,not recommend people sensitive skin   product skin break rash not recommend people sensitive skin perioral dermatitis product cause flare,-1.0,0
352196,5,Great buy!!,2021-03-16 01:24:44.365,great buy need great replacement foil   cutter cassette braun bcooltec shaver,1.0,1
419156,3,good enough but not really great,2018-03-12 16:19:33.636,good great good great job easy use easy curl design good material cheap price cheep thebproblem hair look shiny like flat iron ceramic infrare termolin ionic tecnology perfect   auto shutoff basic good tool like design,0.0,0
467008,5,Great,2021-05-22 19:47:44.019,great love nail hardener,1.0,1
566629,1,This did not fit my standard size hair dryer. ...,2015-01-04 17:18:21.000,fit standard size hair dryer   fit standard size hair dryer   sure measure dimension dryer nozzle buy item,-1.0,0
653871,4,A good product,2015-08-07 17:04:58.000,good product find instruction little vague timer look use thermalform traysbr br get tray mold properly uncomfortable mebr br new kind product want tray decide start   minute day second week   minutesbr br stain tooth smoke cigarette drinking coffee day pretty bad product twice see differencebr br   week achieve color want,0.5,1
458589,4,Nice!,2019-07-10 20:40:18.668,nice videoidcbecafbfbffd not bad wish little small job lightweight loop bit roomy not struggle pull braid,0.5,1
63090,5,Great to use as hair ties and for masks.,2020-06-28 02:50:52.299,great use hair tie mask use thin hair tie hair fine hair need lightweight tie typically stretch pretty quickly good brand decide time stock covid hit hair tie hard find work great ve issue use hair tiesbr br make mask instead elastic sew hair band work great hold wash soft ear stretch not pull hard earsbr br purchase heart beat run current stash,1.0,1
103662,3,This looks more coral or bronze than pink. I ...,2017-04-19 00:08:56.000,look coral bronze pink   look coral bronze pink   twice end put blush rise petal sephora blush match lip color riverside rise   return,0.0,0
12891,5,Great buy,2019-02-04 02:39:29.410,great buy like natural ingredient,1.0,1
457827,5,Quick and easy fix!,2022-10-18 20:11:30.398,quick easy fix hem come loose short small spot piece tape fix problem instead lug sewing machine tape last summer wash hold sweater button little low cut,1.0,1
376550,5,Good for Pain and Moisture,2014-07-10 14:47:55.000,good pain moisture good help hand feel well absorb moisture   carpal tunnel arthritis give temporary   comfort love put good moisturizer heat help absorb soften skin,1.0,1
446919,5,Love this stuff!,2021-07-26 22:21:42.337,love stuff new deep conditioner help soooo detangle like smell linger rinse hope find leavein,1.0,1
613549,3,does not work,2021-06-24 11:39:34.448,work product work,0.0,0
97038,5,As A Costume Wig You Can't Fault It!,2022-07-10 18:12:48.922,costume wig not fault wear review lot wig start break review section think helpful   note wig come spider clip large braid picture earring silver necklace picture   picture    clip thin braid not usebr br color   purple black   obviously suppose mary sanderson look hocus pocus little redder   name probably licensing reasonsbr br styling bag ready wig adjustable band minimal adjusment fit securly   style perfect ready need effort look naturalbr br comfort   fit   easily wearable day super light cap airy ready stylebr br overall   love not believe costume wig fabulous instantly recognizable accessory bonus,1.0,1
2955,5,Very strong,2019-10-11 20:53:14.571,strong dip nail need strong acetone base product remove nail ready disappoint great product great price use,1.0,1
226838,5,Buy this!!,2021-04-17 07:40:12.947,buy excellent nail clipper finally not leave nail jag rough solid product beautiful carry case,1.0,1
260260,4,Good,2019-05-04 18:03:13.604,good weird odour work hair style,0.5,1
322438,1,No thank you.,2019-04-02 04:02:37.169,thank hypoallergenic   instantly sting use face leave face red warm irritate rest day,-1.0,0
368870,5,Boyfriend loves it,2019-06-24 03:15:00.674,boyfriend love sturdy elegant design,1.0,1
418251,5,5 stars,2020-01-07 00:48:31.052,  star buy box braid work part,1.0,1
633456,5,Bouncy curls,2021-10-01 15:52:41.662,bouncy curl videoidbecdbaaeadae hair soft,1.0,1
8977,5,Grey color is great for grey haired people,2017-05-10 21:56:39.000,grey color great grey haired people new grey pencil hard find good grey dark,1.0,1
547685,5,great product,2014-07-28 23:48:21.000,great product good stuffhuman dog work,1.0,1
458078,5,Love it!,2020-02-14 06:52:15.486,love love far soft true length bad smell,1.0,1
623428,5,Five Stars,2017-03-09 18:52:13.000,star love brush   good color change strip let know hot,1.0,1
611320,1,Just as good as glue,2018-01-28 21:04:56.564,good glue basically elmer glue nail polish bottle use hope thick close liquid latex nail,-1.0,0
176807,5,Can't live without,2015-07-17 04:22:24.000,not live good shave cream super soft great clean shave not live great value,1.0,1
304091,5,It works great on my hair,2017-08-29 21:26:43.555,work great hair use time work great hair,1.0,1
660926,5,Best hair ever,2019-04-24 01:57:19.202,good hair hair amazing soft smell,1.0,1
45866,5,Louise Maelys 20 Piece Nail Art Painting Set,2016-06-14 05:47:48.000,louise maelys   piece nail art painting set nail oftenusually fancy cute design minion favorite   set exactly girl boy lol need complete nail artwork   set well nail art investmentsbr br love   come handy storage case make hard lose brush nail dotter   plus vinyl flap cover     unroll time unsnap button spread array brush dotting tool   end total   brush range fan brush fine tip brush   doubleende dotter not size   think   dotting pen small dot use line work brush hard   entire set compact portablebr br clean themive issue   clean polish nail polish remover wipe wash dish soap let dry   brush   little stiff run finger time smooshe   table   bristled soften right upbr br set lot   ve include pic set nail daughter niece edge clean   receive set discount price exchange honest opinion   say base experience set,1.0,1
496585,1,One Star,2017-09-23 23:05:04.109,star hair tangle probably length trash,-1.0,0
523293,5,Super soft!,2021-03-01 21:23:02.471,super soft super soft perfect ve get allot hair,1.0,1
328061,3,Three Stars,2017-03-01 16:31:55.000,star dry lip satisfy,0.0,0
23732,1,Not true to length I,2021-12-17 10:16:30.437,true length buy inch look   inch disappointed great thing return follow day get refund buck quickly,-1.0,0
698614,1,One Star,2018-05-06 02:42:47.323,star terrible buy completely wrong color hair quality terrible,-1.0,0
575431,5,Must buy. You won't be disappointed.,2019-11-22 03:56:23.549,buy will not disappoint absolutely love hair process notice difference   use,1.0,1
608601,1,Horrible,2022-08-31 19:51:54.948,horrible like picture extreme shading not buy waste money,-1.0,0
533081,4,Four Stars,2015-09-07 17:59:57.000,star love stuff,0.5,1
530901,2,Disappointed in scent and longevity,2015-05-23 15:21:18.000,disappoint scent longevity want leave soothe calm lavender scent sheet able use body spray smell like airfreshener rate star spray body scent not long hour d recommend cologne body spray want true lavender scent last long,-0.5,0
126882,5,Fabulous! My dogs LOVE these!,2010-10-10 08:57:29.000,fabulous dog love great food   treat product dog crazy highly recommend feel great give healthy treat love low calorie tasty wheat free soy free corn free contain artificial coloring flavoring animal byproduct try onhand time,1.0,1
45576,5,Five Stars,2018-01-22 02:39:57.042,star hair beautiful,1.0,1
632759,5,Love good quality matte lashes,2021-05-20 12:41:54.018,love good quality matte lash good quality lash matte dark easy fan love,1.0,1
221883,1,Anti age eye patch,2014-06-25 19:43:46.000,anti age eye patch well go cool cucumber patch eye   product esthetic lovely smell,-1.0,0
302723,1,Bad description,2020-09-11 20:52:45.663,bad description videoidfedafddedfcc product nice electric description extremely false disappointing,-1.0,0
253421,5,Plenty of space & excellent quality leather,2017-04-03 17:33:55.000,plenty space   excellent quality leather far exceed expectation   plenty space   excellent quality leather,1.0,1
490079,1,Not as wide as seen on the picture.,2021-09-03 19:08:33.530,wide see picture not like fact narrow wide look picture,-1.0,0
170161,4,Works well,2022-01-19 14:24:03.849,work holder work spacious thing fix tip easily small glass marble heavy help bit,0.5,1
212366,1,Disappointing,2022-07-30 03:11:03.497,disappointing innovative idea freeze water handle actually   roller roller initially cold roll remove right freezer soon roll   minute roller warm stop roll disappointed,-1.0,0
688308,5,Five Stars,2017-12-05 04:27:25.797,star like product look beautiful daughter enjoy,1.0,1
219086,5,Works great!,2020-12-28 03:24:48.974,work great purchase see similar item way expensive talent come put makeup   make cat eye easy   great brush eyeliner underneath eye close eyelash line   happy   great price,1.0,1
435637,1,It's not human hair!!,2022-01-09 19:14:57.033,human hair human hair,-1.0,0
374274,5,Best Hand Soap ever,2018-08-23 04:48:29.320,good hand soap absolutely love hand soap brandbottle antibacterial soap completely disagree antibacterial hang soap suddenly need use soap kid dirty wash non antibacterial soap fine believe hype surround antibacterial use ridiculous baby bommer live fine regular soap parent people use antibacterial soap ill andor disease kid need catch cold flu nonsense antibacterial soap utterly ridiculous,1.0,1
400215,5,Couldn't be happier.,2017-01-09 18:07:23.000,not happy buy sister christmas wish list arrive week plus sister live hair wrap wear everyday not happy,1.0,1
20920,5,Light scents and lovely feel,2020-08-31 20:16:32.033,light scent lovely feel love product include not usually like spearmint scent light love,1.0,1
98945,5,Cute designs,2021-12-18 02:36:40.826,cute design pretty basic shower cap design cute hair dry take shower,1.0,1
294163,5,My lips are softer,2022-03-03 17:45:14.535,lip soft hydrated,1.0,1
592146,1,"Horrible - showed up as a melted mess, TWICE",2022-10-15 03:23:03.958,horrible   show melt mess twice product year extremely disappointed latebr br order product twice show completely destroy use wonderful clay pomade disgusting glob near quality use hope figure embarrassing,-1.0,0
600756,5,Well made,2018-10-05 12:50:27.313,amazing,1.0,1
91458,5,Recommended,2019-06-21 03:12:47.635,recommend great nice break   rest work fine,1.0,1
28850,4,Love Lume!,2022-04-12 23:49:58.829,love lume love lume product try bar soap feel lovely help odor last forever wish fragrance little strong smell refreshing subtle guess user like choose lime want smell line shower small complaint great product,0.5,1
683097,4,Handy,2021-06-17 15:13:34.882,handy light weight easy carry purse nice,0.5,1
207089,5,I love this item!,2016-07-11 17:55:24.000,love item like rack funny cause buy photograph pretty exact eye shadow palette know fit require deep rack like shelf slide helpful   reason   tall item group like item shelf stack   piece require deep shelf sit fall slide shelf halfway place item way great like item look classy add order sturdy,1.0,1
663710,5,Excellent,2013-02-25 16:03:58.000,excellent recommend friend skeptic think try love,1.0,1
583661,5,Highly recommend...,2019-02-20 23:48:57.092,highly recommend buy   year old niece love apparently flip sequin thing friend   fit perfect stay place   color vibrant sequin shiny,1.0,1
523642,5,Strong fake tan smell!,2021-08-15 08:51:39.685,strong fake tan smell smell not chance,1.0,1
379072,5,Great product,2022-01-11 05:26:57.722,great product daughter love hair kit,1.0,1
101219,5,Good,2021-02-03 21:53:02.008,good great pain relief,1.0,1
53357,5,This product was perfect.,2017-09-01 16:22:50.609,product perfect work like   thank great product,1.0,1
359752,5,Perfect size for traveling,2018-09-04 13:31:31.998,perfect size travel wish travel discard   oz jar hair gel airport security not right size container little gem perfect size work great hair,1.0,1
614918,5,As advertised,2019-05-14 20:31:22.531,advertise remove remover work say,1.0,1
389597,5,Work good,2023-03-12 00:04:05.561,work good buy guard different brand clipper fit little modification,1.0,1
100640,4,Four Stars,2015-12-05 20:18:10.000,star good,0.5,1
65153,4,A+,2019-04-14 01:26:59.758,,0.5,1
381743,5,Great price great product,2022-03-14 21:21:06.038,great price great product great price pay product cat love,1.0,1
455572,1,Waste of money,2016-07-14 09:55:40.000,waste money recommend buy expensive product whiten total waste money strip adhere tooth small strip occasionally stick long strip   waste,-1.0,0
249543,5,Very Bright Color,2017-05-24 20:31:06.000,bright color great color go way need coat gel polish order cover nail need paint white underneath color order obtain brightness regular matching polish great picture similar actual color mind screen view picture slight color difference picture nail gel color white nail stamp,1.0,1
690642,1,One Star,2015-12-31 05:44:26.000,star shiny smell terrible,-1.0,0
90275,5,Highly Recommended,2020-09-14 16:47:42.726,highly recommend good quality word great,1.0,1
598337,5,Great everyday lip balm!,2019-05-03 16:03:58.255,great everyday lip balm use product regardless weather great windy condition,1.0,1
473630,5,"It's the best, will order again",2020-08-20 23:56:10.410,good order leave skin super smooth good period,1.0,1
432744,5,Love this,2023-01-05 22:24:50.752,love love product paint nail coat bring color dry fast absolutely love,1.0,1
122028,4,Blondalicious,2018-08-21 01:07:21.744,blondalicious love color picture not like smell go away order thank,0.5,1
95662,1,16 uses and dead,2021-09-05 12:55:54.036,  use dead dry hair week sunday morning curly usually let dry not like show church wet hair buy little guy hope job ve   month figure ve   time heat element go   worth,-1.0,0
152254,5,Great long lasting scent.,2020-02-18 03:10:50.971,great long last scent smell great last day,1.0,1
56763,1,This is made cheap and doesn’t work!,2021-06-19 06:15:00.795,cheap not work work correctly describe miss part half light work send work light not work dial control hot light get not work burn someone hair recommend buy product buy go bad   month use zero use buy product not touch company speak,-1.0,0
140343,1,Very Disappointed,2016-04-04 05:53:54.000,disappointed m disappointed purchase spray not smell good not work daughter long straight hair leave greasy feel hair base review read exciting product buy,-1.0,0
539945,1,Sticky,2023-02-28 02:34:07.352,sticky go smooth dry sticky clumpy feel like peel glue lip   horrible texture,-1.0,0
433615,2,Not What I Expectec,2022-07-06 23:37:32.825,expectec brown hair sprinkle gray   think match look like red tint   product not expect quality wise,-0.5,0
310022,5,the best files available,2017-04-04 18:23:18.000,good file available mont bleu czech glass file hand good file available   dobt use anymore   use file shape smooth finish   pointy edge work perfectly gently push cuticle   use cleanly file end jamberry wrap forever rinse water alcohol let dry good black pouch come keep nice clean purse   buy sister steal   buy   desk car rest sister couple friend,1.0,1
293001,4,Worth it,2020-08-17 23:31:07.892,worth love everyday feel big difference face recommend hand dry skin bad feel like help rid dead skin,0.5,1
631079,3,Three Stars,2018-01-11 00:52:44.956,star ok,0.0,0
615010,5,Good product,2021-03-28 03:41:21.818,good product like product amazing,1.0,1
127963,4,Not for me but maybe others will be able to,2022-09-02 00:15:16.423,maybe able ill start say not think kit fault bad experience try highly recommend have help thisbr br pro glue actually stick well kit popular brand try comparebr br high qualitybr br con eyelid monolid small crease m half asian m sure lot trouble silicone strip eye cut alot uncomfortable crease keep hit have start fall time open close eyesbr br real issue chemical part eyelash start fall maybe start fall perm solution not glue get chemical eye huge watery mess end stop prevent have chemical long damage lash,0.5,1
288002,5,Great product🙃,2020-01-04 00:00:48.407,great product love color texture,1.0,1
276885,5,A nice larger capacity fine mist sprayer.,2020-08-29 14:10:27.582,nice large capacity fine mist sprayer work nice fine mist go point nozzle,1.0,1
381642,5,Relaxing and beneficial,2019-01-28 00:50:20.922,relax beneficial process roller face relaxing   notice benefit right away   keep cool make luxurious experience,1.0,1
200995,5,Right size,2016-12-07 14:52:35.000,right size   advertise,1.0,1
570433,1,NOT LEAKPROOF,2022-10-21 15:06:38.392,leakproof bottle leak proof,-1.0,0
167157,5,Smoothing and preventative,2016-09-19 03:25:55.000,smooth preventative work great keep facial skin look good continue age line start one visible,1.0,1
584053,5,Love it! And free massager came with it!,2020-04-13 13:33:55.379,love free massager come awesome box come free massage roller arrive quickly,1.0,1
8210,5,Great Brand,2020-11-13 21:25:25.108,great brand recommend,1.0,1
79029,3,Okay for beginners,2020-03-01 17:32:19.275,okay beginner lash well quality pay,0.0,0
132816,5,Well Made,2021-08-05 19:38:45.309,bath spa pillow nice comfortable good price want mildew quickly,1.0,1
332302,1,Don’t buy this,2019-11-19 02:06:54.856,not buy box bust open look like hair clip wear waste money,-1.0,0
194790,5,Braun 8000 360 Complete Foil...,2014-04-28 16:35:52.000,braun    complete foil simply look replacement foil find horrifically expensive impossible find order ireland place spendy nonetheless,1.0,1
92047,4,Sponge Applicator Not Foam,2017-10-09 03:08:59.440,sponge applicator foam tip soft plush feel plastic beneath applicator   applicator sponge material foam mean need apply pressure eye shadow stick applicator unfortunately mean transfer lid smooth eitherbr like come resealable bagbr update reviewbr apply pressure eye shadow applicatorbr tip fall purchasebr end result quality control issue like length little long hey cheap,0.5,1
439440,5,Good Purchase,2019-12-08 17:41:07.687,good purchase exactly describe,1.0,1
282172,1,Update your stock.,2014-07-14 11:46:08.000,update stock order come mail butterfly decide run stock sun flash tat send butterfly,-1.0,0
433383,5,Very cute!!,2021-12-22 22:42:31.017,cute slip head pretty easily overall cute,1.0,1
351189,2,was OK for a couple of months...then,2020-01-11 14:54:55.186,ok couple monthsthen buy item mid oct   think fine originally   big drawback close power button degree power button appear power flosser look regardless manufacturer mid jan   power button stick high setting use flosser day expect south   month,-0.5,0
540083,5,Excellent value!,2021-06-01 15:52:33.950,excellent value great product way fit comfort variety quality,1.0,1
512025,5,I have very bad cracked heals so I'm sure it will take a ...,2016-08-15 20:28:36.000,bad crack heal m sure   day trick   bad crack heal m sure week product lotion job,1.0,1
131555,3,🤔🤔,2019-11-27 18:41:10.156,  más o menos es muy bueno pinta mucho realmente muy poco,0.0,0
142684,5,Order was fast,2019-10-22 19:43:16.328,order fast item great shipping terrible receive bottle half liquid plastic wrap,1.0,1
397132,5,Lovely body butter!,2020-06-30 21:32:18.793,lovely body butter order recover illness need gentle nonperfumed creme   soothing,1.0,1
153795,5,Great wax strips for beginners,2020-11-03 23:12:21.568,great wax strip beginner love wax strip   ve try wax melter past time deal mess   premade strip rub peel apply rip   affordable quick mess   sensitive skin not bother face   apply cool wipe immediately wax work great,1.0,1
482508,5,Look at travel size oz!!!! Amazing scent though!!!!,2019-12-30 02:02:42.358,look travel size oz amazing scent get bargain expensive high end perfume base volume get money travel size fit purse backpack say like rotate perfume great size not fully commit scent not need spend lot test thing spray mall tester smell hour later say like scent consider purchase large volume future serve purpose,1.0,1
200929,5,good quality for cost.,2017-01-03 00:40:32.000,good quality cost shed synthetic wig heat resistantcan straighten matting right hair capbr everyday wig,1.0,1
339328,5,"Actually works, unlike most acetone-free removers.",2016-04-18 05:45:44.000,actually work unlike acetonefree remover pretty skeptical stuff acetone free nail polish remover fact work like paint toe nail summer hate remove polish not stand smell acetone base remover dry nail skin thembr br try today coat polish smell mild pleasant different non acetone remover ve try not use instruct not want wait long polish like regular remover wet cotton ball rub nail take long traditional remover good job actually work unlike non acetone one ve try not dry skin nail actually moisturize not stink room try know use toddler   m go use toe summer thing m concerned glass container price high think worth awhile,1.0,1
314245,5,Better Than Expected,2019-10-06 07:34:34.160,well expect beautiful color worth money well expect,1.0,1
371677,5,N,2018-10-05 04:35:46.987,n love,1.0,1
22393,5,It works.,2022-01-04 07:23:34.746,work multiple brow shape stencil choose quick easy use,1.0,1
503968,2,Two Stars,2015-03-13 19:02:09.000,star work describe,-0.5,0
30786,5,💖💖💖,2020-08-23 19:08:06.747,  bellas bellísimas,1.0,1
578199,2,... for closure purposes are not positioned properly rendering them useless.,2017-02-20 03:23:13.000,  closure purpose position properly render useless snap neck note picture hook closure purpose position properly render useless,-0.5,0
686958,3,Also I would have liked to know more about the content of the product,2017-04-11 20:55:05.000,like know content product japanese speak person use picture box instraction think limitingbr like know content product,0.0,0
361690,1,I was so excited about using it since it was natural and got such great reviews. I used it for the first time ...,2016-03-22 01:35:49.000,excited natural get great review time   buy product month   excited natural get great review   time saturday night wash daughter hair   go church day soo embarrassed   daughter long straight hair look horrific   literally look like dip bucket oil   conditioner sticky   dip hair oil spray sugar water   son beautiful thick blond curly hair decide try not want waste   love hair   morning wet hair water spray bottle comb calm bed head towel dry spray detangler scrunch   like nice gel hair make curl calm manageable define beautiful   actually order bottle use daughter hair   give high rating sooo horrible daughter hair not   plus gel son detangler,-1.0,0
648656,5,I Love this Creation.,2020-10-21 23:39:13.450,love creation totally love lash easy use introduction simple pretty love idea magnetic lash fall day recommend,1.0,1
22018,5,Girl's best friend,2013-05-03 21:51:42.000,girl good friend m field day run inside time need d gizmo discreetly find stand quickly thing work mess use end device squeegee remain liquid away germ issue wipe antibacterial wipe clean soap water end day ve problem not recommend fellow outdoor work woman,1.0,1
215855,5,These pumps make it so much easier and cleaner to ...,2017-02-19 22:51:48.000,pump easy clean   pump easy clean listerine bottle   not think ill use listerine   not reach way bottle pour leave bottle,1.0,1
551439,5,Work great!,2020-03-05 13:09:39.417,work great hair push create crease,1.0,1
204475,3,Only good for 1 use. Washable doesnt really help,2020-10-28 15:28:34.642,good   use washable not help add picture file fall apart bend small pressure washable sanitizable good use need new good   time use buffer sturdy   use,0.0,0
404511,5,Five Stars,2018-04-18 22:11:17.681,star work fine,1.0,1
254016,5,Super cute!,2019-04-29 02:18:43.872,super cute adjustable cute slide maybe use bobby pin,1.0,1
591259,4,A lot for your money,2014-03-20 05:16:44.000,lot money like brush need wash use pu case come odd smell time go away great brush price recommend,0.5,1
66275,2,Two Stars,2015-10-09 15:57:44.000,star extremely light,-0.5,0
269599,1,they dont fit he flawless hair remover tool,2019-05-07 13:21:00.794,not fit flawless hair remover tool not fit flawless hair remover tool   crack fall apart   terrible product   want money,-1.0,0
253905,3,"Good deal, good product. Exactly what I expect.",2020-09-16 17:34:23.324,good deal good product exactly expect kinda cheaply good deal good product exactly expect,0.0,0
154216,5,Just Right,2022-01-14 02:57:02.286,right get wife christmas gift smell drive crazy love fragrance,1.0,1
651819,5,Beautiful Colors,2021-02-04 04:20:57.675,beautiful color videoidbdddeacdccebda color amazing right type brown green cure quickly lead lampbr br worth buy,1.0,1
